Tag,Name,Formula,Density
1,Albite,Na:1:Al:1:Si:3:O:8,2.62
2,Alumina,Al:2:O:3,3.7
3,Aluminum,Al:1,2.71
4,Anatase,Ti:1:O:2,3.9
5,Ankerite,Fe:1:Ca:1:C:2:O:6,3
6,Anorthite,Ca:1:Si:2:Al:2:O:8,2.76
7,Anthracite,C:1,1.5
8,Apatite,Ca:5:P:3:O:12:Cl:0.33:F:0.33:O:0.33:H:0.33,3.2
9,Aragonite,Ca:1:C:1:O:3,2.95
10,Barite,Ba:1:S:1:O:4,4.5
11,bromodecane,Br:1:C:10:H:21,1.07
12,Calcite,Ca:1:C:1:O:3,2.71
13,Chlorite,Fe:2:Mg:2:Al:4:Si:2:O:18:H:8,3
14,CsI,Cs:1:I:1,4.51
15,decane,C:10:H:22,0.73
16,di-iododecane,I:2:C:10:H:20,2.254
17,Dolomite,Ca:1:Mg:1:C:3:O:6,2.87
18,Galena,Pb:1:S:1,7.58
19,Hematite,Fe:1:O:1,5.26
20,Illite,K:1.5:Al:5.5:Si:6.5:O:24:H:4,2.8
21,iododecane,I:1:C:10:H:21,1.254
22,Iron,Fe:1,7.874
23,Kaolinite,Al:2:Si:2:O:9:H:4,2.6
24,KBr,K:1:Br:1,2.75
25,KCl,K:1:Cl:1,1.984
26,K-feldspar,K:1:Al:1:Si:3:O:8,2.56
27,KI,K:1:I:1,3.13
28,Lithium,Li:1,0.534
29,MagnesiumCarbonate,Mg:1:C:1:O:3,2.958
30,MagnesiumOxide,Mg:1:O:1,3.58
31,Muscovite,K:1:Al:3:Si:3:O:12:H:2,2.8
32,NaBr,Na:1:Br:1,3.203
33,NaCl,Na:1:Cl:1,2.165
34,NaI,Na:1:I:1,3.667
35,PE,C:1:H:2,0.95
36,PEEK,C:19:O:3:H:12,1.3
37,PotassiumCarbonate,K:2:C:1:O:3,2.428
38,PotassiumMonoxide,K:2:O:1,2.32
39,Pyrite,Fe:1:S:2,4.93
40,Quartz,Si:1:O:2,2.65
41,Siderite,Fe:1:C:1:O:3,3.96
42,Talc,Mg:3:Si:4:O:12:H:2,2.75
43,Water,H:2:O:1,1
